CaseNo,Default,CreditBalPerc,DebtPerc,LateUpto60Days,Late60to90Days,LateOver90Days,Income,NoOfOpenLoans,NoOfHomeLoans,Dependents,Age,Job,Status,Education
35D,??,0.1681,0.0804,0,0,0,5000,16,0,1,49,management,married,secondary
21W,??,0.0555,0.6098,0,0,0,4335,7,1,2,46,blue-collar,married,unknown
42T,??,0.1041,0.4777,0,0,0,10316,10,2,0,59,management,divorced,tertiary
65Y,??,0.3857,0.4043,0,0,0,3400,7,0,0,50,technician,divorced,tertiary
69P,??,0.7282,0.8247,0,0,0,3000,10,2,1,31,management,divorced,secondary
58K,??,0.1331,0.1829,1,0,0,10257,9,2,3,49,admin.,married,unknown
32A,??,0.2997,0.7166,0,0,0,5584,4,1,2,44,self-employed,married,primary
76B,??,0.9647,0.3829,3,1,3,13700,9,1,2,40,technician,married,primary
71C,??,0.0257,0.4758,0,0,0,3000,7,1,2,38,services,single,unknown
12N,??,0.3922,1.5953,0,0,0,4676,14,3,1,50,unemployed,married,primary
